published,product_sku,product_name,category_path,product_s_desc,product_price,product_box,file_description,file_meta,file_title,file_url,file_url_thumb,product_in_stock,step_order_level,min_order_level,product_ordering
1,d001,С копченым угрём,"Дорогая, буду поздно/ Салаты","Оригинальный салат со свежими овощами (помидор, огурец, болгарский перец), кусочками копчёного угря, зелёным луком, миксом салатов и кунжутной заправкой. ",260,1,С копченым угрём,С копченым угрём,С копченым угрём,,,99999999,1,1,1
1,d002,Оливье с раковыми шейками ,"Дорогая, буду поздно/ Салаты","Со слайсами бастурмы, воссозданный по оригинальному рецепту. ",260,1,Оливье с раковыми шейками ,Оливье с раковыми шейками ,Оливье с раковыми шейками ,,,99999999,1,1,2
1,d003,Со слабосоленой семгой и горчичным соусом,"Дорогая, буду поздно/ Салаты","Листья салата с кусочками слабосолёной сёмги собствен- ного посола, благородным сыром, заправленный соусом из зернистой горчицы и меда. ",340,1,Со слабосоленой семгой и горчичным соусом,Со слабосоленой семгой и горчичным соусом,Со слабосоленой семгой и горчичным соусом,,,99999999,1,1,3
1,d004,Классический итальянский,"Дорогая, буду поздно/ Салаты","Из рукколы со свежими огурцами, вялеными помидорами, жареными креветками с соусом песто и сыром пармезан. ",340,1,Классический итальянский,Классический итальянский,Классический итальянский,,,99999999,1,1,4
1,d005,Цезарь с креветками,"Дорогая, буду поздно/ Салаты","Листья салата Романо, с жареными тигровыми креветками и сыром пармезан. ",340,1,Цезарь с креветками,Цезарь с креветками,Цезарь с креветками,,,99999999,1,1,5
1,d006,Цезарь с курицей,"Дорогая, буду поздно/ Салаты","Листья салата Романо, с маринованым обжареным на гриле куриным филе и сыром пармезан. ",285,1,Цезарь с курицей,Цезарь с курицей,Цезарь с курицей,,,99999999,1,1,6
1,d007,Мясной,"Дорогая, буду поздно/ Салаты","Из трёх видов мяса (филе индейки, говяжья и свиная вырезки) с арахисовой заправкой на основе арахисовой пасты, чили перца и угря, и молодыми овощами (свежие огурцы и помидоры). ",270,1,Мясной,Мясной,Мясной,,,99999999,1,1,7
1,d008,С костромским кроликом и овощами,"Дорогая, буду поздно/ Салаты","Свежие огурцы, помидоры, сельдерей, микс-салат, мор- ковные лепестки под смородиновой заправкой и гелем из лесной клюквы. ",270,1,С костромским кроликом и овощами,С костромским кроликом и овощами,С костромским кроликом и овощами,,,99999999,1,1,8
1,d009,Теплый салат с говядиной,"Дорогая, буду поздно/ Салаты","Из маринованных баклажанов с костромским сыром брынза, говяжьей вырезки средней прожарки, листьями рукколы и фирменным соусом из трав. ",270,1,Теплый салат с говядиной,Теплый салат с говядиной,Теплый салат с говядиной,,,99999999,1,1,9
1,d010,С печеной тыквой,"Дорогая, буду поздно/ Салаты","Сыровяленым окороком под медово-горчичной заправкой. Необычный авторский салат из сладковатой тыквы, сыровяле- ного окорока, сыра пармезан, пикантных вяленых помидоров и свежего шпината. Заправляется медово-горчичным соусом и оформляется тыквенными семечками и соусом крем-бальзамик. ",270,1,С печеной тыквой,С печеной тыквой,С печеной тыквой,,,99999999,1,1,10
